"","outletID","estID","east_DD","south_DD","est_name","full_ecosystem_type_name","est_ecosystem_type_code","biogeographical_zone","efz_ha","condition24","condition18","condition11","fishing_effort24","fishing_effort18","fishing_effort11","hund_km_zone","hund_km_zone_cond","fish","fish2018","efz_area","sum_area24pa","sum_area18pa","mod11","mod18","mod24","pes11","pes18","pes24"
"95",151,95,27.358079,-33.3625,"Gqutywa","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",105.3968945752,82.3062154443265,84.6812154443265,84,"L","L","L",23,74.5466017575052,85,85,1053968.9074003,0,0,"NearNatural","NearNatural","NearNatural","B","B","B"
"96",152,96,27.367916,-33.3580769444444,"Ngculura (Ngculurha)","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",36.5994128286,78.4598846274842,79.7098846274842,81.525,"L","L","L",23,74.5466017575052,65,65,365994.122634312,0,0,"NearNatural","NearNatural","NearNatural","B","B","B"
"97",155,97,27.432165,-33.3186049722222,"Mtana","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",81.1695249367,86.2832706766917,87.5332706766917,83.825,"L","L","L",23,74.5466017575052,85,85,811695.283473898,12500.5605015863,12500.5605015863,"NearNatural","NearNatural","NearNatural","B","B","B"
"98",156,98,27.491233,-33.28148,"Keiskamma","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",1401.9521466173,66.83045142464,75.925,75,"VH","H","H",23,74.5466017575052,60,60,14019521.7751702,792326.756993043,792326.756993043,"NearNatural","NearNatural","Moderate","B","B","C"
"99",158,99,27.527936,-33.2527389722222,"Nqinisa","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",54.2974434365,90.575,91.825,86.65,"L","L","L",23,74.5466017575052,80,80,542974.425187221,58758.8659508131,58758.8659508131,"NearNatural","Natural","Natural","B","A","A"
"100",159,100,27.543167,-33.2483019444444,"Kiwane (Khiwane)","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",87.0247760467,90.5461263608658,91.7961263608658,89.5,"L","L","L",23,74.5466017575052,80,80,870467.330709701,81113.8542492221,81113.8542492221,"Natural","Natural","Natural","A","A","A"
"101",160,101,27.583421,-33.2257719444444,"Tyolomnqa","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",207.6132775783,84.2848089300284,87.724613853289,83.25,"VH","H","M",23,74.5466017575052,65,70,2076132.68884608,10508.3292130574,10508.3292130574,"NearNatural","NearNatural","NearNatural","B","B","B"
"102",161,102,27.6156639722222,-33.2070908333333,"Shelbertsstroom","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",14.96628347222,77.42,77.325,74.5,"L","L","L",23,74.5466017575052,70,70,149662.917264212,1949.83842051867,1949.83842051867,"Moderate","NearNatural","NearNatural","C","B","B"
"103",162,103,27.6369089722222,-33.1928527777778,"Lilyvale","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",33.65770356953,79.3116546112116,81.0916546112116,75.275,"L","L","L",23,74.5466017575052,85,85,336577.034338678,101474.965129895,101474.965129895,"NearNatural","NearNatural","NearNatural","B","B","B"
"104",163,104,27.657672,-33.1767569444444,"Ross' Creek","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",13.01565872946,85.795,88.475,80.45,"L","L","L",23,74.5466017575052,85,85,130156.555264169,80354.613534761,80354.613534761,"NearNatural","NearNatural","NearNatural","B","B","B"
"105",164,105,27.668206,-33.1701158333333,"Ncera (Ncerha)","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",77.8705957783,85.9987757104342,86.6237757104342,83.825,"L","L","L",23,74.5466017575052,85,85,778705.830758269,111273.933821376,111273.933821376,"NearNatural","NearNatural","NearNatural","B","B","B"
"106",165,106,27.6799619722222,-33.1597119444444,"Mlele","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",20.16356623505,77.6604181582274,80.0654181582274,77.65,"L","L","L",23,74.5466017575052,75,85,201635.649368125,85019.8389143532,85019.8389143532,"NearNatural","NearNatural","NearNatural","B","B","B"
"107",166,107,27.7019769972222,-33.1455088888889,"Mcantsi","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",31.8129932692,68.2124807392114,82.0124807392114,74.95,"L","L","L",23,74.5466017575052,65,85,318129.939474105,154592.104272729,154592.104272729,"NearNatural","NearNatural","Moderate","B","B","C"
"108",167,108,27.7314909722222,-33.1189049722222,"Gxulu","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",106.5659135713,73.6595708532302,76.2895708532302,80.15,"L","L","L",23,74.5466017575052,65,75,1065659.03793186,157375.533269401,157375.533269401,"NearNatural","NearNatural","Moderate","B","B","C"
"109",168,109,27.775033,-33.1010899722222,"Goda","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",51.9099234911,84.0775095276591,85.9825095276591,86.125,"L","L","L",23,74.5466017575052,85,90,519099.223534743,58552.9793748276,58552.9793748276,"NearNatural","NearNatural","NearNatural","B","B","B"
